index,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-3,3,6,0,-4,4,-10,-33,-45,9,-31,-27
1,-2,4,6,-1,-4,5,-11,-33,-44,9,-30,-26
2,-2,4,6,-1,-4,5,-13,-33,-44,9,-30,-26
3,-2,3,5,0,-3,4,-14,-34,-45,9,-28,-25
4,-2,2,4,0,-3,3,-16,-35,-45,9,-28,-26
5,-2,1,3,0,-2,2,-18,-36,-46,8,-27,-25
6,-2,0,2,1,-2,1,-19,-37,-47,8,-27,-25
7,-2,-1,1,1,-1,0,-21,-38,-47,7,-27,-24
8,-2,-2,0,2,-1,-1,-22,-39,-48,8,-26,-24
9,-3,-2,1,2,-2,0,-22,-41,-47,8,-25,-24
10,-3,-4,-1,3,-1,-2,-23,-41,-47,9,-25,-23
11,-3,-3,0,3,-1,-1,-23,-40,-48,8,-24,-22
12,-2,-1,1,1,-1,0,-23,-41,-47,9,-24,-22
13,-2,-1,1,1,-1,0,-23,-41,-47,9,-23,-22
14,-2,-2,0,2,-1,-1,-22,-40,-46,10,-22,-21
15,-2,-3,-1,2,0,-2,-22,-40,-46,9,-23,-22
16,-1,-4,-3,2,1,-3,-21,-39,-45,9,-22,-22
17,0,-4,-4,2,2,-4,-22,-38,-45,10,-22,-23
18,0,-5,-5,2,2,-5,-21,-38,-46,9,-23,-23
19,0,-8,-8,4,4,-8,-21,-37,-46,10,-22,-22
20,1,-11,-12,5,6,-11,-20,-37,-45,10,-22,-22
21,1,-12,-13,5,7,-12,-19,-35,-45,9,-21,-23
22,0,-12,-12,6,6,-12,-20,-35,-46,9,-22,-23
23,1,-11,-12,5,6,-11,-19,-34,-46,8,-21,-23
24,1,-12,-13,5,7,-12,-18,-34,-46,8,-21,-23
25,0,-14,-14,7,7,-14,-17,-33,-46,8,-21,-23
26,0,-13,-13,6,6,-13,-16,-33,-45,8,-20,-23
27,0,-13,-13,6,6,-13,-15,-33,-45,8,-20,-23
28,-1,-13,-12,7,5,-12,-15,-32,-45,7,-19,-23
29,-3,-13,-10,8,3,-11,-13,-32,-44,7,-19,-24
30,-5,-15,-10,10,2,-12,-11,-31,-44,8,-19,-24
31,-6,-17,-11,11,2,-14,-10,-31,-43,7,-20,-25
32,-7,-18,-11,12,2,-14,-9,-30,-43,7,-20,-25
33,-9,-20,-11,14,1,-15,-9,-30,-44,6,-21,-26
34,-11,-22,-11,16,0,-16,-8,-31,-44,4,-21,-27
35,-13,-23,-10,18,-1,-16,-8,-31,-45,2,-23,-29
36,-16,-25,-9,20,-3,-17,-7,-32,-46,1,-24,-30
37,-16,-27,-11,21,-2,-19,-7,-34,-48,-1,-25,-31
38,-16,-28,-12,22,-2,-20,-8,-34,-49,-2,-26,-32
39,-17,-28,-11,22,-3,-19,-8,-35,-51,-4,-28,-34
40,-17,-28,-11,22,-3,-19,-9,-37,-52,-6,-29,-35
41,-18,-30,-12,24,-3,-21,-9,-37,-54,-7,-30,-35
